"","Refreshed:","","","","","","   Main Roster of Titan Inc (Azralon-US)","","","","","","","","","","","","","","","","","",""
"","04/09 16:52","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Classes","","","","","","","","Healers (6)","","","","","","Ranged (8)","","","","Melee (8)","","","Composition","",""
"","","Mage","","","","","3","","","Name","","Class","","","","Name","Class","","","Name","Class","","Tanks","3",""
"","","Warlock","","","","","1","","Sekungfu","","","Monk","","","Battoumage","","Mage","","Wargyu","","Warrior","","Healers","6",""
"","","Priest","","","","","2","","Laks","","","Priest","","","Khezzerdrix","","Hunter","","Rhaelos","","Hunter","","Ranged","8",""
"","","Rogue","","","","","2","","Drickie","","","Druid","","","Grohe","","Mage","","Kanaxai","","Druid","","Melee","8",""
"","","Druid","","","","","2","","Cebøla","","","Paladin","","","Huszi","","Shaman","","Mamuthe","","Death Knight","","Total","25",""
"","","Monk","","","","","1","","Elding","","","Shaman","","","Feisen","","Mage","","Zilbag","","Death Knight","","","",""
"","","Demon Hunter","","","","","2","","Dramarys","","","Evoker","","","Zenithus","","Demon Hunter","","Neroditty","","Rogue","","Armor Types","",""
"","","Shaman","","","","","2","","","","","","","","Unfo","","Priest","","Fefalas","","Rogue","","Cloth","6",""
"","","Hunter","","","","","2","","","","","","","","Kusiak","","Warlock","","Maeliel","","Demon Hunter","","Leather","7",""
"","","Evoker","","","","","1","","","","","","","","","","","","","","","","Mail","5",""
"","","Warrior","","","","","1","","","","","","","","","","","","","","","","Plate","7",""
"","","Paladin","","","","","3","","","","","","","","","","","","","","","","","",""
"","","Death Knight","","","","","3","","","","","","","","","","","","","","",""," ","",""
"","","","","","","","","","","","","","","","","","","","","","",""," ","",""
"","","","","Tanks (3)","","","","","","","","","","","","","","","","","",""," ","",""
"","","","","Name","","","","","","","","","","","","","","","","","",""," ","",""
"","","Poseïdom","","","","Paladin","","","","","","","","","","","","","","","",""," ","",""
"","","Jocí","","","","Paladin","","","","","","","","","","","","","","","","","","",""
"","","Gnomeghust","","","","Death Knight","","","","","","","","","","","","","","","","","Change Roster:","",""
"","","","","","","","","","","","","","","","","","","","","","","","link","",""
